number,title,abstract,applicant,publicNumber,publicDate,applicationNumber,applicationDate,IPCmain,IPC
3823,A Ground Attack Method And System Based On Uav Reconnaissance,"The Present Invention Relates To A Ground Attack Method And System Based On Uav Reconnaissance. The Method Includes: Releasing Uav For Reconnaissance, Using Uav For Reconnaissance To Monitor Unknown Areas, And Returning To The Ground For Monitoring Result: When The Inspection Result Shows That The First Target Appears, The Ground-Attack Drone Will Be Released To Strike According To The Location Information In The Inspection Result; At The Same Time, The Drone Will Continue To Feed Back The Strike Result Until The First Target. One Target Is Eliminated; When The Inspection Result Shows That There Is A Second Target, The Location Information In The Inspection Result Is Reported To Mobilize Firepower To Strike; At The Same Time, The Drone For Control And Reconnaissance Continues To Feedback The Strike Result Until The First The Second Goal Was Eliminated. The Invention Can Solve The Problem Of Investigation And Fire Support In The Battle Of Platoons And Ranks Based On Unmanned Aerial Vehicles, And Effectively Reduce The Casualties Of Combatants.","Beijing Zhuanglong UAV Technology Co., Ltd",CN111561840A,2020/8/21 0:00,CN202010380452.2,2020/5/8 0:00,F41H13/00,F41H13/00
3908,"Method, Device, Equipment And Medium For Generating Remote Control Target Instruction","The Invention Discloses A Method, Device, Equipment And Medium For Generating A Remote Control Target Instruction. The Method Includes The Following Steps: The Target Mission Flight Section, After The Pilot Manipulates The Control Stick According To The Motion Characteristics Of The Simulated Target Aircraft To Generate The Control Instruction, The Control Instruction Is Generated By The Instruction After Correction, It Outputs Equivalent Instructions That Simulate The Movement Characteristics Of The Target. The Equivalent Instructions Are Transmitted To The On-Board Control System Via The Uplink Data Link. The On-Board Control System Controls The Target Flight According To The Pre-Designed Control Law, So That The Target¡¯S Flight Trajectory Follows The Pilot¡¯S The Intention Is To Truly Simulate The Movement Characteristics Of The Target. The Method Of Generating Equivalent Instructions Through The Principle Of Equivalent Similarity Realizes The Ability Of The Target To Truly Simulate The Movement Characteristics Of The Target Fighter.","Xi'an Kewei Industrial Development Co., Ltd",CN111857177A,2020/10/30 0:00,CN202010700608.0,2020/7/20 0:00,G05D1/10,G05D1/10;F41J9/08
3982,A Bomb Used To Strike An Aircraft Carrier Battle Group,"A Floating Bomb (Air Mine For Short) Mainly Used To Strike Aircraft Carrier Battle Groups. It Is Inspired By The Crash Of A Bird And An Aircraft And Its Technical Characteristics Are: A Miniature That Can Float In The Air For A Long Time. Bombs, At Least A Combination Of High Explosives Or Micro Bombs And Floating Carriers, Of Which The Mass Of High Explosives Is Relatively Small And Adapts To The Floating Capacity. The Ammunition Volume Of The Floating Carrier Mini Parachute And Drone Bombs Can Be Increased As Needed, And The Floating Carrier Is Designed As Dead Leaf Type, Flower Type, Catkin Type, Feather Type, Sycamore Seed Type, Pine Seed Type Or Balloon Type Can Also Be Replaced By Micro Drones Or Small Drones. The Floating Carrier Is Composited By Lightweight Materials; The Carriers Are Integrated With Explosives According To Their Respective Shapes And Characteristics. The Floating Mines Are Detonated By The Impact Force Of A High-Speed Flying Aircraft Or Other External Forces, And Are Dropped Into The Enemy Aircraft Carrier Battle Group By Means Of Missiles, Rockets, Unmanned Aircraft Or Aircraft. Over The Sky, The Strike Carrier-Based Aircraft Took Off And Landed Safely.",Zhou Yiyang,CN112129171A,2020/12/25 0:00,CN201811127206.5,2018/9/12 0:00,F41H11/02,F41H11/02;F42B30/08
4107,Outdoor Concealed Drone Detection System,"The Invention Discloses An Outdoor Concealed Unmanned Aerial Vehicle Detection System, Which Includes An Unmanned Aerial Vehicle Detection Equipment Body Which Has A Hidden Room Embedded In The Underground, And The Geographical Position Of The Hidden Room It Is A Non-Planar Ground, And The Uav Detection Equipment Body Is Arranged In A Hidden Room; The Geographical Location Of The Hidden Room Is A Non-Planar Land On A Hillside Slope Or A River Valley Slope. The Outdoor Concealed Uav Detection System Provided By The Present Invention Has Good Camouflage And Concealment Effects When Detecting Uavs Outdoors, Can Prevent High-Altitude Reconnaissance, And Is Not Easy To Be Discovered.","CCCC remote sensing technology Jiangsu Co., Ltd",CN112611262A,2021/4/6 0:00,CN202011578835.7,2020/12/28 0:00,F41H11/02,F41H11/02;F41H3/00
4238,Weekly Sighting And Aiming System For Turning Shooting Gun,"The Utility Model Relates To A Peripheral Sighting And Sighting System For A Turning Shooting Gun. The Sighting System Includes A Sighting Optical System With A Red Dot Sighting, A Differential Mechanism And A White Light Imaging System; The Platform Operating Mechanism Of The Sighting And Sighting System The Upper And Lower Rotating Shafts Are Fixedly Connected With The Weapon Combat Mechanism. The Rotating Shaft Is Driven By The Electric Corner Actuator; The Pistol And Other Weapons Are Fixed On The Fixed Bracket Of The Weapon Combat Mechanism. The Steel Cable Of The Pistol Firing Mechanism In The Bracket Is Controlled By The Platform Operating Mechanism And The Trigger. There Is Firing Insurance; The Tactical Guide Rail Of The Weapon Combat Mechanism Can Be Installed With Camera/Video And Audio Wireless Transmitters, Tactical Lasers, And Tactical Lights. This Is An Improved Utility Model Creation Of The Original Pistol Variable Line Aiming And Shooting Tactical Operation Platform. The Dove Prism And Red Dot Rifle Sight Have Improved The Aiming Accuracy Of The Optical System. Due To The Addition Of Free Turning Target, The Relationship Between Man And Machine Is More Reasonable And The Platform Is More Applicable. Therefore, It Has Obvious Economic Benefits.",Bai Shizhong,CN202329418U,2012/7/11 0:00,CN201120463629.1,2011/11/21 0:00,F41G1/46,F41G1/46
4351,Interlocking Circuit Control Fixture Of Missile Launcher,"The Utility Model Belongs To The Technical Field Of Interlocking Circuit Control Of Bomber Missile Launching Devices, In Particular To A Control Fixture For Simulating Missiles. The Control Fixture Of The Interlocking Circuit Of The Missile Launcher, Including The Handle (1), The Hanging Lugs (2), The Shaft (3), The Self-Locking Nut (4), The Adjusting Screw (5) And The Main Body (6), The Self-Locking Nut (4) ) Is Screwed To The Shaft (3), The Shaft (3) Can Rotate Freely In The Main Body (6) Without Axial Movement, The Adjusting Screw (5) Is Connected With The Main Body (6) Through The Thread, And The Adjusting Screw (5) Is Rotated The Screw Rod Is Extended Or Retracted To Adjust The Stroke Of The Top Pressure Switch Of The Interlock Circuit, And Control The On And Off Of The Switch. The Design Of The Control Fixture For The Interlocking Circuit Of The Missile Launcher Is Small And Light, And Can Be Quickly Connected To The Missile Launcher. Compared With The Wooden Board And Wire Rope Used Before, The Interlocking Circuit Top Pressure Switch Is More Stable And Reliable.",China flight test and Research Institute,CN202928456U,2013/5/8 0:00,CN201220594902.9,2012/11/12 0:00,F41G11/00,F41G11/00
4389,Parachute Repellent System,"The Utility Model Relates To A Parachute Driving Off System, Which Belongs To The Technical Field Of Parachute Driving Off System Structure. It Includes A Launching Device Installed On The Wing, A Driving Device Installed In The Launching Device, And A Control System Installed In The Fighter Plane To Control The Opening And Closing Of The Launching Device. The Utility Model Has Reasonable Structure Design, High Safety, And Can Effectively Drive Away The Enemy Reconnaissance Aircraft.",Xu Zhongde,CN203132433U,2013/8/14 0:00,CN201320106891.X,2013/3/11 0:00,F41H13/00,F41H13/00
4493,Explosion-Proof Board For Fighter'S Mobile Equipment And Fighter'S Mobile Equipment,"The Utility Model Provides An Explosion-Proof Plate For Fighter Moving Equipment, Which Is Used To Form The Shell Of The Fighter Moving Equipment, And Includes: A High Molecular Polyethylene Plate And A Silicon Carbide Plate That Are Attached To Each Other, The High Molecular Polyethylene Plate And The Silicon Carbide Plate Connected By The Foam Layer Between The Two. Compared With The Explosion-Proof Board Provided By The Background Technology, The Composite Board Formed By Polymer Polyethylene Board And Silicon Carbide Has High Hardness, Which Can Improve The Explosion-Proof Performance Of Fighter Aircraft. At The Same Time, The Density Of Polymer Polyethylene Board And Silicon Carbide Board Is Lower Than That Of Steel And Iron. , Which Makes The Fighter'S Mobile Equipment Lighter, And Solves The Problem Of Heavy Fighter'S Mobile Equipment And Poor Flexibility. The Utility Model Also Provides A Fighter Jet Moving Equipment.",Zhou Qidi,CN203479173U,2014/3/12 0:00,CN201320307970.7,2013/5/31 0:00,F41H5/02,F41H5/02
4494,Explosion-Proof Board For Fighter'S Mobile Equipment And Fighter'S Mobile Equipment,"The Utility Model Provides An Explosion-Proof Plate For Fighter Equipment, Which Is Used To Form The Shell Of Fighter Equipment. It Includes: A Carbon Fiber Polymer Plate And A Silicon Carbide Plate That Are Attached To Each Other. The Carbon Fiber Polymer Plate And The Silicon Carbide Plate Pass Through The Two The Foaming Layer Between Them Is Connected. Compared With The Explosion-Proof Board Provided By The Background Technology, The Composite Board Formed By Carbon Fiber Polymer Board And Silicon Carbide Has High Hardness, Which Can Improve The Explosion-Proof Performance Of Fighter Aircraft. At The Same Time, The Density Of Carbon Fiber Polymer Board And Silicon Carbide Board Is Lower Than That Of Steel And Iron. This Makes The Fighter'S Mobile Equipment Lighter, And Can Solve The Problem Of Heavy Fighter'S Mobile Equipment And Poor Flexibility. The Utility Model Also Provides A Fighter Jet Moving Equipment.",Zhou Qidi,CN203479174U,2014/3/12 0:00,CN201320307987.2,2013/5/31 0:00,F41H5/04,F41H5/04; F41H5/00
4594,Equipment For Calibrating Fighter Weapon System Using Fiber Optic Gyroscope,"The Utility Model Provides A Device For Calibrating A Fighter Weapon System Using An Optical Fiber Gyroscope. The Azimuth And Posture Determining Instrument Includes An Azimuth And Posture Adjuster. A Second Optical Fiber Gyro Module Is Installed On The Azimuth And Posture Adjuster, And The Second Optical Fiber Gyro Module Is Built-In For The Computer For Analyzing The Azimuth Angle Data, The Second Fiber Optic Gyroscope Module Is Equipped With An Electronic Optical Aligner And A Display, The Integration Calculation Module And The Display Of The Second Fiber Optic Gyroscope Module Are Connected To The Computer Through The Data Transmission Interface, And The Computer Is Connected To The Second Fiber Optic Gyro Module Through The Data Transmission Interface. A Fiber Optic Gyroscope Module Is Connected To The Integral Solution Module, The Orientation And Attitude Adjuster Can Adjust The Attitude Angle Of The Second Fiber Optic Gyroscope Module, And The Body Longitudinal Axis Orientation Determination Device Can Measure The Current Longitudinal Axis Direction Of The Body, And Aim Through The Cross Displayed In The Eyepiece Of The Leveling Instrument The Line Indicates The Direction. The Utility Model Simplifies The Steps Of The Fighter Weapon Calibration Process, Improves The Calibration Efficiency, And Calibrates The Weapon System In The Field Environment.",Jiao Jian Jian Li Pingjin Chen Yuanchun,CN203928892U,2014/11/5 0:00,CN201420264122.7,2014/5/22 0:00,F41G3/00,F41G3/00; G01C19/02
4595,Device For Determining The Position Of The Longitudinal Axis Of The Airframe Used To Calibrate The Weapon System,"The Utility Model Provides A Device For Determining The Position Of The Longitudinal Axis Of The Aircraft Body For Calibrating The Weapon System Of A Fighter Aircraft. The Device Includes A First Aircraft Longitudinal Axis Measuring Instrument And A Second Aircraft Longitudinal Axis Measuring Instrument, The First Aircraft Longitudinal Axis Measuring Instrument And The Second Aircraft Longitudinal Axis Measuring Instrument. The Longitudinal Axis Measuring Instrument Of The Body Includes An Adjusting Base, A Platform Is Installed On The Adjusting Base, The Vertical Lifting Rod, An Inclinometer And A Level Are Installed On The Platform Perpendicular To The Platform, The Aiming Axis Of The Level Is Parallel To The Platform, And The Longitudinal Axis Of The Body Is Installed On The Platform Of The Measuring Instrument. The Level Gauges Are Arranged Opposite To Each Other, The Distance Between The Aiming Axis Of The Level Gauge Of The Body Longitudinal Axis Measuring Instrument And The Respective Vertical Lifting Rods Is Equal, And The Objective Lens Of Each Level Gauge Is Equipped With A Movable Plate That Can Shield Or Open The Objective Lens Of The Level, And The Movable Plate Is Far Away From The Objective Lens Of The Level. There Is A Scale On One Side. The Utility Model Simplifies The Steps In The Process Of Determining The Position Of The Longitudinal Axis Of The Body, Improves The Calibration Efficiency, And Calibrates The Weapon System In The Field Environment.",Li Pingjin Jiao Jian Jian Chen Yuanchun,CN203928893U,2014/11/5 0:00,CN201420264260.5,2014/5/22 0:00,F41G3/00,F41G3/00
